age,gender,treatment,outcome
34.96714153011233,1,1,60.45350790694521
28.617356988288154,1,1,58.6214884494267
36.47688538100692,0,0,65.65180989112393
45.23029856408026,0,0,66.21039337254626
27.65846625276664,0,1,67.81613168107958
27.658630430508193,1,0,62.99097900031773
45.79212815507391,1,1,65.20938797107677
37.67434729152909,0,1,60.365273413190316
25.305256140650478,1,1,54.686758752960046
35.42560043585965,0,0,51.437142305463695
25.365823071875376,0,0,55.315912773231645
25.34270246429743,1,0,53.681697665130535
32.41962271566034,1,1,66.66365384872334
10.86719755342202,1,1,56.344730351909625
12.750821674869673,1,1,54.37360428074787
24.377124707590273,0,0,56.73314378147415
19.87168879665576,1,0,48.76663922042291
33.142473325952736,1,0,63.06977485154225
20.91975924478789,1,0,50.346349959388824
15.876962986647085,1,1,52.06343253631464
44.65648768921554,0,0,67.48635614030201
27.742236995134643,0,1,66.19349214035965
30.67528204687924,1,1,53.58415772126872
15.752518137865433,1,0,57.000763614910746
24.556172754748175,0,1,58.658888630954166
31.10922589709866,0,0,57.46224513131
18.490064225776973,1,0,54.48211980620278
33.75698018345672,0,1,68.06021846812112
23.99361310081195,0,0,59.42547980368121
27.083062502067232,0,1,62.875827096090156
23.98293387770603,0,0,55.07166351873225
48.522781845089376,1,0,64.61793802135405
29.865027752620662,0,1,63.367569139065054
19.422890710440996,0,0,64.85363950876192
38.225449121031886,1,1,67.39967978615907
17.791563500289776,1,1,53.720390925135156
32.08863595004755,1,1,60.23859102814601
10.403298761202244,0,1,58.361950514659824
16.718139511015693,1,1,64.51259792865699
31.968612358691235,0,0,66.64610875316805
37.38466579995411,1,0,57.23472613815841
31.713682811899705,0,0,54.84593376062269
28.843517176117594,1,0,51.34556694680434
26.988963044107113,1,1,62.35883269931104
15.214780096325725,0,1,71.08335557498518
22.801557916052914,1,0,57.53593789609138
25.393612290402125,1,0,47.648521053700605
40.57122226218915,1,1,61.54134616242674
33.43618289568462,1,1,59.91128385948082
12.36959844637266,1,0,47.60086693333726
33.24083969394795,0,0,58.032782783513284
26.149177195836835,0,0,59.691727463850754
23.230779996940413,1,1,63.379139845695356
36.11676288840868,1,1,69.29384632110583
40.30999522495951,0,1,69.71401143272374
39.31280119116199,0,1,57.0230891557044
21.607824767773614,1,1,54.19582449267551
26.907876241487855,0,1,62.2818926881504
33.31263431403564,1,1,63.73018957304809
39.75545127122359,1,1,69.23372718074836
25.2082576215471,1,0,55.77839816754799
28.143410233361827,1,1,61.696559339326924
18.936650259939718,0,0,56.86998189367721
18.037933759193294,0,0,54.136271433851974
38.125258223941984,0,0,61.87200316657165
43.56240028570823,1,1,71.69788098077123
29.27989878419666,0,1,63.36441514133898
40.03532897892024,1,1,64.85953505975465
33.61636025047634,1,0,57.916981051306955
23.548802453948756,0,0,63.55350980514047
